_gold_cui_rank,_gold_cui_score,_gold_name,_text,accuracy,max_accuracy,max_mrr,mrr,~pred_cuis_1.0,~pred_cuis_10.0,~pred_cuis_2.0,~pred_cuis_3.0,~pred_cuis_4.0,~pred_cuis_5.0,~pred_cuis_6.0,~pred_cuis_7.0,~pred_cuis_8.0,~pred_cuis_9.0,~~comm,~~mention_uuid,cos_dist,sentence,cos_rank
1.0,0.969350278377533,Effusion,effusion,1.0,1.0,1.0,1.0,C0013687=Effusion (0.97),C0013691=Chylous effusion (-0.73),"C0031039=Pericardial effusion, NOS (0.83)",C0032227=Pleural effusion (disorder) (0.45),C1265807=Multiple effusions (0.03),"C0021311=Infection, NOS (-0.43)","C0032326=Pneumothorax, NOS (-0.44)",C0747635=Bilateral pleural effusion (-0.60),"C0008350=Cholelithiasis, NOS (-0.66)","C0032285=Pneumonia, NOS (-0.69)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81994c,0.19103614344553776,evaluate for effusion __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ UNDERLYING MEDICAL CONDITION: :,31241.0
1.0,0.969350278377533,Effusion,effusion,1.0,1.0,1.0,1.0,C0013687=Effusion (0.97),C0013691=Chylous effusion (-0.73),"C0031039=Pericardial effusion, NOS (0.83)",C0032227=Pleural effusion (disorder) (0.45),C1265807=Multiple effusions (0.03),"C0021311=Infection, NOS (-0.43)","C0032326=Pneumothorax, NOS (-0.44)",C0747635=Bilateral pleural effusion (-0.60),"C0008350=Cholelithiasis, NOS (-0.66)","C0032285=Pneumonia, NOS (-0.69)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a81994f,0.1893324653207026,evaluate for effusion __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ _ FINAL REPORT HISTORY: :,33090.0
1.0,0.9041997790336608,Bilateral pleural effusion,bilateral pleural effusions,1.0,1.0,1.0,1.0,C0747635=Bilateral pleural effusion (0.90),C0225783=Right pleural fluid (-0.33),C0032227=Pleural effusion (disorder) (0.83),"C0031039=Pericardial effusion, NOS (0.67)",C0340003=Other pleural effusion (0.43),C0747639=Loculated pleural effusion (0.39),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (0.04),C1265808=Loculated effusion (0.02),C0264547=Pleural effusion associated with hepatic disorder (-0.25),C0265135=Acute pericardial effusion (-0.28),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819951,0.5758447185991153,"There are bilateral pleural effusions, , right greater than left. .",114546.0
1.0,0.8843463063240051,"Atelectasis, NOS",atelectasis,1.0,1.0,1.0,1.0,"C0004144=Atelectasis, NOS (0.88)","C1258215=Ileus, NOS (-0.54)","C0008350=Cholelithiasis, NOS (0.14)","C0008325=Cholecystitis, NOS (-0.44)","C0003962=Ascites, NOS (-0.44)",C0264495=Linear atelectasis (-0.46),C0264494=Discoid atelectasis (-0.47),C0264496=Focal atelectasis (-0.51),"C0006267=Bronchiectasis, NOS (-0.51)","C0002959=Angiectasis, NOS (-0.51)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819953,0.0901358616758021,There is bibasilar atelectasis. .,60580.0
1.0,0.7199931740760803,Lung consolidation,consolidation,1.0,1.0,1.0,1.0,C0521530=Lung consolidation (0.72),"C0031039=Pericardial effusion, NOS (-0.48)","C0004144=Atelectasis, NOS (-0.09)","C0032285=Pneumonia, NOS (-0.27)","C1261287=Stenosis, NOS (-0.31)","C0008350=Cholelithiasis, NOS (-0.34)","C0006267=Bronchiectasis, NOS (-0.39)","C0010200=Cough, NOS (-0.44)","C0332448=Infiltration, NOS (-0.45)","C0042963=Vomiting, NOS (-0.46)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819955,0.13931020063364252,There is no CHF or new focal consolidation. .,46165.0
1.0,0.9041997790336608,Bilateral pleural effusion,bilateral pleural effusions,1.0,1.0,1.0,1.0,C0747635=Bilateral pleural effusion (0.90),C0225783=Right pleural fluid (-0.33),C0032227=Pleural effusion (disorder) (0.83),"C0031039=Pericardial effusion, NOS (0.67)",C0340003=Other pleural effusion (0.43),C0747639=Loculated pleural effusion (0.39),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (0.04),C1265808=Loculated effusion (0.02),C0264547=Pleural effusion associated with hepatic disorder (-0.25),C0265135=Acute pericardial effusion (-0.28),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/19584-178988-RADIOLOGY_REPORT.txt,4330506c-a848-800a-ffc8-1cea7a819958,0.5767271901359117,"There are bilateral pleural effusions, , right greater than left. .",114287.0
1.0,0.9075664281845092,"Intracranial hemorrhage, NOS",intracranial hemorrhage,1.0,1.0,1.0,1.0,"C0151699=Intracranial hemorrhage, NOS (0.91)","C0236178=Intraabdominal hemorrhage, NOS (0.15)",C0038525=Subarachnoid hemorrhage (0.79),C2937358=Cerebral hemorrhage (0.55),"C0475526=Intracerebral hemorrhage, intraventricular (0.48)",C0021874=Intracranial abscess (0.40),C0149854=Cerebellar hemorrhage (0.37),C0017181=Gastrointestinal hemorrhage (0.31),C0475734=Perinatal intracranial hemorrhage (0.23),C0007785=Infarction - cerebral (0.18),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190ca,0.40049121912081426,No evidence of intracranial hemorrhage or acute process. .,131829.0
2.0,0.8347408771514893,"Infarction, NOS",infarction,0.0,0.0,0.5,0.5,C0027051=Myocardial infarction (0.91),C1299620=Myocardial infarction with complication (-0.10),"C0021308=Infarction, NOS (0.83)",C0340293=Anterior myocardial infarction NOS (0.68),"C0155626=Acute myocardial infarction, NOS (0.54)",C0340312=Lateral myocardial infarction NOS (0.26),C0340319=Posterior myocardial infarction NOS (0.26),C0333560=Evolving infarct (0.12),C0333547=Multiple infarcts (0.09),C1998297=Recent myocardial infarction (0.02),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190cd,0.19054680487825484,"There is no evidence of infarction, , and there are no other areas of suspicion for hemorrhage. .",20313.0
1.0,0.9927486181259156,Haemorrhage,hemorrhage,1.0,1.0,1.0,1.0,C0019080=Haemorrhage (0.99),C0018948=Haemometra (-0.75),C2937358=Cerebral hemorrhage (-0.17),C0149854=Cerebellar hemorrhage (-0.38),C0038525=Subarachnoid hemorrhage (-0.49),"C0032326=Pneumothorax, NOS (-0.54)",C0151701=Pulmonary haemorrhage (-0.71),C0018944=Haematoma (-0.74),"C0264956=Atheroma, NOS (-0.74)",C0019123=Haemothorax (-0.74),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190cf,0.053771769432516436,"There is no evidence of infarction, , and there are no other areas of suspicion for hemorrhage. .",104842.0
1.0,0.9995548725128174,Haemorrhage,hemorrhage,1.0,1.0,1.0,1.0,C0019080=Haemorrhage (1.00),C0017181=Gastrointestinal hemorrhage (-0.56),C0149854=Cerebellar hemorrhage (0.68),C0038525=Subarachnoid hemorrhage (0.63),C2937358=Cerebral hemorrhage (0.55),C0018944=Haematoma (-0.28),C0240059=Ventricular hemorrhage (-0.34),C0347697=Secondary hemorrhage (-0.38),C0151701=Pulmonary haemorrhage (-0.50),"C0032326=Pneumothorax, NOS (-0.53)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d0,0.05464117077097769,"Possible tiny focus of hemorrhage in the right frontal lobe, , possibly an acute bleed. .",109570.0
7.0,-0.1500781923532486,Acute hemorrhage,acute bleed,0.0,0.0,0.14285714285714285,0.14285714285714285,"C0029944=Overdose, NOS (0.58)",C2240377=High blood pressure (& [essential hypertension]) (-0.28),C0547004=Intermenstrual bleeding - regular (0.30),C0232943=Intermenstrual heavy bleeding (0.29),C0024050=Lower gastrointestinal haemorrhage (0.15),C0019080=Haemorrhage (-0.09),C0333240=Acute edema (-0.15),C0333276=Acute hemorrhage (-0.15),"C0007177=Tamponade, cardiac (-0.16)",C0017181=Gastrointestinal hemorrhage (-0.25),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d1,0.49226871506978187,"Possible tiny focus of hemorrhage in the right frontal lobe, , possibly an acute bleed. .",89608.0
1.0,0.902143895626068,Left atrial dilatation,left atrium ... dilated,1.0,1.0,1.0,1.0,C0344720=Left atrial dilatation (0.90),C0265004=Dilatation of aorta (-0.80),C0344709=Right atrial dilatation (0.83),C0344911=Left ventricular dilatation (0.80),C0344893=Right ventricular dilatation (0.68),C0264734=Atrial dilatation (0.22),C0264733=Ventricular dilatation (0.20),C0238669=Aortic root dilatation (-0.15),C0345049=Ascending aorta dilatation (-0.54),C0264732=Cardiac dilatation (-0.77),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d3,0.5617276775264382,The left atrium is mildly dilated. .,108101.0
1.0,0.9209272265434264,Ventricular hypertrophy (& [left]),left ventricular hypertrophy,1.0,1.0,1.0,1.0,C0149721=Ventricular hypertrophy (& [left]) (0.92),C1535063=(Cardiomegaly) or (ventricular hypertrophy (& left)) (-0.86),C0162770=Right ventricular hypertrophy (0.68),C1997092=Hypertensive left ventricular hypertrophy (0.51),C0340278=Atrial hypertrophy (-0.61),C0344911=Left ventricular dilatation (-0.74),C0232312=Ventricular hypertrophy by EKG (-0.80),C1299638=Infantile breast hypertrophy (-0.80),C0344893=Right ventricular dilatation (-0.83),C0018818=Ventricular septal defect (-0.83),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d4,0.5321276227207333,There is asymmetric left ventricular hypertrophy. .,118418.0
2.0,0.8327168226242065,Ventricular septal defect,ventricular septal defect,0.0,0.0,0.5,0.5,C0149721=Ventricular hypertrophy (& [left]) (0.84),C0344948=Giant ventricular septal defect (-0.23),C0018818=Ventricular septal defect (0.83),C0018817=Atrial septal defect (0.82),C0555060=Atrial septal defect murmur (0.20),C0018816=Heart septal defects (0.20),C0685707=Muscular ventricular septum defect (0.05),C1997351=Left ventricular cardiac dysfunction (-0.00),C0344794=Malaligned atrial septum (-0.05),C0344925=Perimembranous ventricular septal defect (-0.09),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d8,0.6190425856456137,There is no ventricular septal defect. .,91342.0
1.0,0.8397082090377808,Aortic valve vegetations,vegetations ... aortic valve,1.0,1.0,1.0,1.0,C0577870=Aortic valve vegetations (0.84),C0345003=Aortic valve cusp prolapse (-0.29),C0577799=Tricuspid valve vegetations (0.61),"C1260873=Aortic valve disorder, NOS (0.53)",C0003507=Aortic valve stenosis (0.52),C0003504=Aortic valve insufficiency (0.46),C0577871=Mitral valve vegetations (0.32),C0577795=Pulmonary valve vegetations (0.08),C1142152=Heart valve calcification (-0.20),C0340887=Prosthetic cardiac valve vegetation (-0.21),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190d9,0.7101234203212258,No masses or vegetations are seen on the aortic valve. .,12167.0
1.0,0.8318865895271301,Mitral valve prolapse syndrome,mitral valve prolapse,1.0,1.0,1.0,1.0,C0026267=Mitral valve prolapse syndrome (0.83),C0018817=Atrial septal defect (-0.44),C0344720=Left atrial dilatation (0.26),C0026266=Mitral valve insufficiency (0.01),C0349521=Mitral valve anterior leaflet prolapse (-0.16),C0003504=Aortic valve insufficiency (-0.18),C0040962=Tricuspid valve prolapse (-0.19),C0344709=Right atrial dilatation (-0.21),C0238669=Aortic root dilatation (-0.41),C0345049=Ascending aorta dilatation (-0.43),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190dc,0.6989350318125963,There is no mitral valve prolapse. .,10854.0
3.0,0.7721115946769714,Mitral valve vegetations,vegetation ... mitral valve,0.0,0.0,0.3333333333333333,0.3333333333333333,C0577870=Aortic valve vegetations (0.85),C0003507=Aortic valve stenosis (0.22),C0577799=Tricuspid valve vegetations (0.78),C0577871=Mitral valve vegetations (0.77),C0003504=Aortic valve insufficiency (0.73),C0026266=Mitral valve insufficiency (0.61),C0040961=Tricuspid valve insufficiency (0.60),C0026267=Mitral valve prolapse syndrome (0.58),C0040962=Tricuspid valve prolapse (0.28),"C1260873=Aortic valve disorder, NOS (0.25)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190de,0.730414757619517,No mass or vegetation is seen on the mitral valve. .,6310.0
1.0,0.968608856201172,Tricuspid leaflet thickened,tricuspid ... leaflets ... thickened,1.0,1.0,1.0,1.0,C2959459=Tricuspid leaflet thickened (0.97),C0344745=Absent tricuspid leaflet (-0.31),C2959604=Tricuspid leaflet fenestration (0.52),C2960360=Tricuspid leaflet deficiency (0.52),C0344744=Tricuspid leaflet abnormality (0.20),C2959697=Tricuspid leaflet noncoapting (0.16),C0344768=Mitral leaflet abnormality (0.13),C2960280=Tricuspid leaflet flail (0.03),C0149721=Ventricular hypertrophy (& [left]) (-0.09),C0349521=Mitral valve anterior leaflet prolapse (-0.19),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e0,0.7203810706465192,The tricuspid valve leaflets are mildly thickened. .,2583.0
1.0,0.9977254867553712,Haemorrhage,hemorrhage,1.0,1.0,1.0,1.0,C0019080=Haemorrhage (1.00),C0240059=Ventricular hemorrhage (-0.50),C2937358=Cerebral hemorrhage (0.68),C0149854=Cerebellar hemorrhage (0.60),C0038525=Subarachnoid hemorrhage (0.59),"C0032326=Pneumothorax, NOS (-0.32)",C0347697=Secondary hemorrhage (-0.43),C0342406=Pituitary hemorrhage (-0.47),C0017181=Gastrointestinal hemorrhage (-0.48),C0333282=Occult hemorrhage (-0.49),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e1,0.07177018582892904,"A CT head with motion artifact showed no apparent hemorrhage, , mass, , edema, , and no obvious infarct except for a chronic appearing infarct in the L caudate head. .",109851.0
1.0,0.8950087428092957,Systolic hypertension,systolic hypertension,1.0,1.0,1.0,1.0,C0221155=Systolic hypertension (0.90),C1997276=Exertional hypertension (-0.68),C0235222=Diastolic hypertension (0.22),C1998407=Systolic essential hypertension (-0.51),C0018036=Goldblatt hypertension (-0.55),"C0020538=Hypertensive disease, NOS (-0.62)","C0031039=Pericardial effusion, NOS (-0.63)",C1997092=Hypertensive left ventricular hypertrophy (-0.66),C0020542=Pulmonary hypertension (-0.66),C0149721=Ventricular hypertrophy (& [left]) (-0.68),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e2,0.5667322429327215,There is mild pulmonary artery systolic hypertension. .,29651.0
7.0,0.5150967836380005,Pulmonary valve vegetations,vegetation ... pulmonic valve,0.0,0.0,0.14285714285714285,0.14285714285714285,C0003504=Aortic valve insufficiency (0.79),C0026266=Mitral valve insufficiency (0.33),C0577870=Aortic valve vegetations (0.78),C0003507=Aortic valve stenosis (0.71),C0040961=Tricuspid valve insufficiency (0.62),C0577799=Tricuspid valve vegetations (0.62),C0034088=Pulmonary valve insufficiency (0.59),C0577795=Pulmonary valve vegetations (0.52),"C1260873=Aortic valve disorder, NOS (0.50)",C0034089=Pulmonary valve stenosis (0.48),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e3,0.6411979633523238,No vegetation/ /m mass is seen on the pulmonic valve. .,79526.0
1.0,0.9818970561027528,"Pericardial effusion, NOS",pericardial effusion,1.0,1.0,1.0,1.0,"C0031039=Pericardial effusion, NOS (0.98)","C1260873=Aortic valve disorder, NOS (-0.63)",C0032227=Pleural effusion (disorder) (0.45),C0747635=Bilateral pleural effusion (0.31),C0265135=Acute pericardial effusion (0.05),C0027051=Myocardial infarction (-0.05),C1535567=(Cardiac tamponade) or (pericardial disease NOS) (-0.11),"C0007177=Tamponade, cardiac (-0.48)",C0349077=Pericardial effusion - noninflammatory (-0.55),C0340442=Other pericardial disease NOS (-0.62),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e5,0.4547453757016264,There is no pericardial effusion. .,118568.0
1.0,0.93525230884552,"Endocarditis, NOS",endocarditis,1.0,1.0,1.0,1.0,"C0014118=Endocarditis, NOS (0.94)","C1384588=Bacterial myocarditis, NOS (-0.12)","C0027059=Myocarditis, NOS (0.50)","C0264865=Valvular endocarditis, NOS (0.30)",C0340356=Endocarditis - blastomycosis (0.27),C0348868=Listerial endocarditis (0.27),C0014121=Bacterial endocarditis (0.16),C0375268=Acute endocarditis (0.14),C0340357=Endocarditis - monilial (-0.03),"C0276648=Mycotic endocarditis, NOS (-0.11)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e7,0.18540606696156067,The absence of a vegetation by 2D echocardiography does not exclude endocarditis if clinically suggested. .,31946.0
1.0,0.6175860762596129,Internal carotid artery stenosis,ICA stenosis,1.0,1.0,1.0,1.0,C0340569=Internal carotid artery stenosis (0.62),C0018817=Atrial septal defect (-0.74),C0003507=Aortic valve stenosis (-0.02),C0340754=Subclavian vein stenosis (-0.44),"C1261287=Stenosis, NOS (-0.58)",C0340573=External iliac artery stenosis (-0.66),C0577631=Carotid atherosclerosis (-0.71),C0340574=Superficial femoral artery stenosis (-0.71),C0349765=Arteriovenous shunt stenosis (-0.73),C1956257=Pulmonary stenosis (-0.74),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e8,0.473456601327583,40- -5 59% % right ICA stenosis. .,90332.0
1.0,0.4442664086818695,Internal carotid artery stenosis,ICA stenosis,1.0,1.0,1.0,1.0,C0340569=Internal carotid artery stenosis (0.44),C0340573=External iliac artery stenosis (-0.72),C0003507=Aortic valve stenosis (0.32),C0340754=Subclavian vein stenosis (-0.28),C0026269=Mitral valve stenosis (-0.56),C0018817=Atrial septal defect (-0.62),C0265103=Vertebral artery stenosis (-0.66),C0340755=Internal jugular vein stenosis (-0.69),C0431750=Stenosis of urinary meatus (-0.70),C0340574=Superficial femoral artery stenosis (-0.71),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190e9,0.4410673231895081,Less than 40% % left ICA stenosis VIDEO SWALLOW [* ** *2 2019- -0 04- -0 03* ** *] ]: :,117014.0
170.0,-0.7172436118125916,Oral phase dysphagia,oral ... dysphagia,0.0,0.0,0.005882352941176471,0.005882352941176471,C0267071=Oropharyngeal dysphagia (0.47),C0339975=Herpes simplex pneumonia (-0.07),"C0013404=Dyspnea, NOS (0.12)",C0344357=Nocturnal dyspnoea (0.09),"C0043252=Gunshot wound, NOS (0.09)",C0024117=Chronic obstructive airway disease (0.01),C1956415=Paroxysmal nocturnal dyspnoea (-0.03),C0018926=Haematemesis (-0.03),"C0700198=Pulmonary aspiration, NOS (-0.05)","C0039070=Syncope, NOS (-0.06)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190ea,0.4251651061391669,"Pt presents with a mild oral and pharyngeal dysphagia characterized by mildly reduced oral control, , mild swallow delay and delayed laryngeal valve closure. .",126595.0
1.0,0.9462004899978638,Oropharyngeal dysphagia,pharyngeal dysphagia,1.0,1.0,1.0,1.0,C0267071=Oropharyngeal dysphagia (0.95),"C0013404=Dyspnea, NOS (0.00)",C0267072=Esophageal dysphagia (0.73),C0233762=Auditory hallucinations (0.54),"C0039070=Syncope, NOS (0.29)",C0023052=Laryngeal edema (0.25),"C0007177=Tamponade, cardiac (0.24)",C0344357=Nocturnal dyspnoea (0.21),C0151701=Pulmonary haemorrhage (0.16),C0034067=Pulmonary emphysema (0.02),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190eb,0.41142385907684703,"Pt presents with a mild oral and pharyngeal dysphagia characterized by mildly reduced oral control, , mild swallow delay and delayed laryngeal valve closure. .",109471.0
11.0,-0.5974682569503784,Aspiration of unspecified fluid,aspiration ... thin liquid,0.0,0.0,0.09090909090909093,0.09090909090909093,"C0700198=Pulmonary aspiration, NOS (0.22)",C0547004=Intermenstrual bleeding - regular (-0.59),"C0043252=Gunshot wound, NOS (-0.10)","C0023890=Cirrhosis of liver, NOS (-0.16)","C0029944=Overdose, NOS (-0.31)","C0340221=Obstruction of trachea, NOS (-0.39)",C0024117=Chronic obstructive airway disease (-0.44),C0032290=Aspiration pneumonia (-0.45),C0878588=Dysfunction of sphincter of Oddi (-0.52),C0156195=Chronic passive congestion of liver (-0.58),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f0,0.6860131000389862,The pt had one episode of trace aspiration when taking a larger sip of thin liquid. .,27566.0
133.0,-0.618718147277832,Global aphasia,global aphasia,0.0,0.0,0.0075187969924812035,0.0075187969924812035,"C0007177=Tamponade, cardiac (0.23)",C0741292=Paroxysmal atrial flutter (-0.23),C0152113=Rheumatic chorea (0.17),C0345137=Balanced coronary system (0.07),C0024050=Lower gastrointestinal haemorrhage (-0.04),C0018817=Atrial septal defect (-0.07),C0038454=Accident - cerebrovascular (-0.07),C1290385=Right coronary artery occlusion (-0.13),C0267071=Oropharyngeal dysphagia (-0.15),C0024117=Chronic obstructive airway disease (-0.22),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f2,0.5272059125181837,"78M with hx of AVR/ /C CABG, , s/ /p p lung resection who presented to [* ** *H Hospital1 33* ** *] ] on [* ** *0 03- -1 19* ** *] ] with confusion and found to have global aphasia s/ /p p tPA for presumed stroke but no positive imaging who was initially given TPA and admitted to the ICU. .",73017.0
1.0,0.973946452140808,Accident - cerebrovascular,stroke,1.0,1.0,1.0,1.0,C0038454=Accident - cerebrovascular (0.97),"C0085616=Vasospasm, NOS (-0.59)",C0451672=Cerebellar stroke syndrome (0.56),C0265108=Impending cerebrovascular accident (0.12),C0038525=Subarachnoid hemorrhage (-0.40),C0547004=Intermenstrual bleeding - regular (-0.45),C1546348=Intracerebral hemorrhage (& [cerebrovascular accident due to]) (-0.46),C1531624=Cardioembolic stroke (-0.55),C0586324=Right sided cerebral hemisphere cerebrovascular accident (-0.57),C0270685=Cerebral calcification (-0.58),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f3,0.11307939886000301,"78M with hx of AVR/ /C CABG, , s/ /p p lung resection who presented to [* ** *H Hospital1 33* ** *] ] on [* ** *0 03- -1 19* ** *] ] with confusion and found to have global aphasia s/ /p p tPA for presumed stroke but no positive imaging who was initially given TPA and admitted to the ICU. .",60340.0
2.0,0.9390344023704528,"Bradycardia, NOS",bradycardia,0.0,0.0,0.5,0.5,C0003811=Cardiac arrhythmia (0.95),"C0039070=Syncope, NOS (0.26)","C0428977=Bradycardia, NOS (0.94)","C0011991=Diarrhea, NOS (0.69)","C0018681=Headache, NOS (0.68)","C0013404=Dyspnea, NOS (0.62)","C0029944=Overdose, NOS (0.54)","C0085612=Ventricular arrhythmia, NOS (0.52)","C0039231=Tachycardia, NOS (0.40)","C0546959=Atrial tachycardia, NOS (0.36)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f4,0.055956256932035,He was then re-transfered to the ICU for acute bradycardia with hypotension and unresponsiveness. .,132476.0
1.0,0.9303033351898192,Edema NOS,edema,1.0,1.0,1.0,1.0,C0013604=Edema NOS (0.93),C0333240=Acute edema (-0.87),C0034063=Pulmonary edema (-0.48),C0006114=Cerebral edema (-0.51),C0019080=Haemorrhage (-0.54),C0276093=Edema disease (-0.60),C0333247=Blue edema (-0.75),C0013608=Cardiac edema (-0.81),C1283370=Alimentary edema (-0.83),C1827170=Edema of extremity (-0.86),/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f7,0.06533316504305804,"A CT head with motion artifact showed no apparent hemorrhage, , mass, , edema, , and no obvious infarct except for a chronic appearing infarct in the L caudate head. .",95593.0
2.0,0.9390344023704528,"Bradycardia, NOS",bradycardia,0.0,0.0,0.5,0.5,C0003811=Cardiac arrhythmia (0.95),"C0039070=Syncope, NOS (0.26)","C0428977=Bradycardia, NOS (0.94)","C0011991=Diarrhea, NOS (0.69)","C0018681=Headache, NOS (0.68)","C0013404=Dyspnea, NOS (0.62)","C0029944=Overdose, NOS (0.54)","C0085612=Ventricular arrhythmia, NOS (0.52)","C0039231=Tachycardia, NOS (0.40)","C0546959=Atrial tachycardia, NOS (0.36)",/Users/elliotschumacher/Dropbox/concept/share_clef/ALLREPORTS/10644-007491-DISCHARGE_SUMMARY.txt,4330506c-a848-800a-ffc8-1cea7a8190f8,0.10559589381156209,"The bradycardia and hypotension was felt to be due to IV lopressor effect, , and possibly due to pneumonia and sepsis. .",64666.0
